pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019-03-01T16:09:27Z,2019-03-01T16:48:09Z,1,4.7,24.5,0,0,26.3,yellow,credit card,Van Cortlandt Village,Melrose South,Bronx,Bronx
2019-03-01T16:24:53Z,2019-03-01T16:46:42Z,1,1.77,14,3.95,0,19.75,green,credit card,Morningside Heights,East Harlem North,Manhattan,Manhattan
2019-03-01T16:29:03Z,2019-03-01T16:42:06Z,4,1.68,10,2.14,0,16.44,yellow,credit card,Upper West Side North,Yorkville East,Manhattan,Manhattan
2019-03-01T16:33:34Z,2019-03-01T17:01:47Z,1,8.26,26,6.11,0,36.66,green,credit card,Brooklyn Heights,Yorkville West,Brooklyn,Manhattan
2019-03-01T16:40:12Z,2019-03-01T17:02:03Z,1,5.23,19.5,4.76,0,28.56,yellow,credit card,Battery Park City,Midtown North,Manhattan,Manhattan
2019-03-01T16:41:08Z,2019-03-01T16:56:00Z,6,0.88,10,2.86,0,17.16,yellow,credit card,Penn Station/Madison Sq West,Midtown Center,Manhattan,Manhattan
2019-03-01T16:41:26Z,2019-03-01T17:24:05Z,1,7.29,30,0,0,31.8,green,credit card,Flatbush/Ditmas Park,East New York,Brooklyn,Brooklyn
2019-03-01T16:58:23Z,2019-03-01T16:58:23Z,1,0,3,0,0,4.8,green,cash,Stuyvesant Heights,NA,Brooklyn,NA
2019-03-01T17:00:28Z,2019-03-01T17:17:18Z,1,1.66,12,0,0,13.8,green,credit card,East Concourse/Concourse Village,Central Harlem North,Bronx,Manhattan
2019-03-01T17:03:11Z,2019-03-01T17:17:11Z,1,5.39,17,3.76,0,22.56,green,credit card,Jamaica,JFK Airport,Queens,Queens
2019-03-01T17:09:09Z,2019-03-01T17:18:51Z,1,1.74,8.5,2.06,0,12.36,green,credit card,Boerum Hill,Red Hook,Brooklyn,Brooklyn
2019-03-01T17:09:11Z,2019-03-01T17:17:07Z,1,1.26,7,1,0,12.3,yellow,credit card,Midtown Center,Union Sq,Manhattan,Manhattan
2019-03-01T17:09:56Z,2019-03-01T17:22:55Z,0,2.2,10.5,2.86,0,17.16,yellow,credit card,Lower East Side,Murray Hill,Manhattan,Manhattan
2019-03-01T17:15:32Z,2019-03-01T17:40:24Z,3,2.8,16.5,4.15,0,24.95,yellow,credit card,Hudson Sq,Clinton East,Manhattan,Manhattan
2019-03-01T17:17:01Z,2019-03-01T17:47:22Z,1,3.33,20.5,4.96,0,29.76,yellow,credit card,Kips Bay,Long Island City/Hunters Point,Manhattan,Queens
2019-03-01T17:20:40Z,2019-03-01T17:24:49Z,1,0.83,5,1.86,0,11.16,yellow,credit card,Upper East Side North,Upper East Side South,Manhattan,Manhattan
2019-03-01T17:23:57Z,2019-03-01T17:27:00Z,1,0.4,4,0,0,8.3,yellow,cash,Lenox Hill East,Yorkville East,Manhattan,Manhattan
2019-03-01T17:25:02Z,2019-03-01T17:35:30Z,3,1.7,8.5,2.3,0,15.1,yellow,credit card,Lincoln Square East,Upper West Side North,Manhattan,Manhattan
2019-03-01T17:38:01Z,2019-03-01T18:11:26Z,1,9.27,30,10.02,5.76,50.08,yellow,credit card,Midtown East,LaGuardia Airport,Manhattan,Queens
2019-03-01T17:39:58Z,2019-03-01T18:04:46Z,1,3.06,17,4.26,0,25.56,yellow,credit card,West Chelsea/Hudson Yards,Lenox Hill East,Manhattan,Manhattan
2019-03-01T17:42:35Z,2019-03-01T17:56:13Z,1,2,10.5,1.5,0,16.3,yellow,credit card,Hudson Sq,Union Sq,Manhattan,Manhattan
2019-03-01T17:51:29Z,2019-03-01T18:02:41Z,1,1.75,9,3.99,0,17.29,yellow,credit card,Penn Station/Madison Sq West,Greenwich Village North,Manhattan,Manhattan
2019-03-01T17:56:02Z,2019-03-01T18:08:16Z,1,1.98,10,0,0,11.8,green,credit card,Crown Heights North,Boerum Hill,Brooklyn,Brooklyn
2019-03-01T18:02:02Z,2019-03-01T18:43:57Z,1,4.89,26,0,0,27.8,yellow,credit card,East Concourse/Concourse Village,Westchester Village/Unionport,Bronx,Bronx
2019-03-01T18:12:55Z,2019-03-01T18:26:37Z,1,1.9,10.5,2.96,0,17.76,yellow,credit card,Upper East Side North,Midtown Center,Manhattan,Manhattan
2019-03-01T18:21:58Z,2019-03-01T18:27:29Z,2,1.2,6,2.05,0,12.35,yellow,credit card,Yorkville East,Upper East Side North,Manhattan,Manhattan
2019-03-01T18:25:38Z,2019-03-01T19:01:37Z,1,4.1,22.5,4.85,0,29.15,green,credit card,Downtown Brooklyn/MetroTech,Bushwick North,Brooklyn,Brooklyn
2019-03-01T18:27:55Z,2019-03-01T19:06:42Z,1,14.06,40.5,0,5.76,50.56,yellow,credit card,LaGuardia Airport,Times Sq/Theatre District,Queens,Manhattan
2019-03-01T18:33:04Z,2019-03-01T18:39:32Z,2,0.8,6,2.05,0,12.35,yellow,credit card,Clinton West,Garment District,Manhattan,Manhattan
2019-03-01T18:49:26Z,2019-03-01T19:09:28Z,2,4.16,17,4.26,0,25.56,yellow,credit card,West Chelsea/Hudson Yards,Yorkville East,Manhattan,Manhattan
2019-03-01T18:51:32Z,2019-03-01T19:03:54Z,1,2.3,11,3.05,0,18.35,yellow,credit card,Lincoln Square West,Morningside Heights,Manhattan,Manhattan
2019-03-01T18:53:15Z,2019-03-01T19:18:55Z,1,6.48,23.5,5.56,0,33.36,yellow,credit card,Financial District North,Clinton West,Manhattan,Manhattan
2019-03-01T18:58:22Z,2019-03-01T19:05:07Z,1,0.77,6,2.06,0,12.36,yellow,credit card,Greenwich Village South,East Village,Manhattan,Manhattan
2019-03-01T19:07:27Z,2019-03-01T19:12:16Z,1,0.8,5.5,0,0,9.8,yellow,cash,Manhattan Valley,Upper West Side South,Manhattan,Manhattan
2019-03-01T19:17:38Z,2019-03-01T19:42:12Z,0,4.9,19.5,4.76,0,28.56,yellow,credit card,Midtown North,Battery Park City,Manhattan,Manhattan
2019-03-01T19:21:58Z,2019-03-01T19:27:37Z,2,0.9,6,0,0,10.3,yellow,cash,Upper West Side North,Upper West Side South,Manhattan,Manhattan
2019-03-01T19:29:50Z,2019-03-01T19:37:39Z,1,1.1,6.5,1.2,0,12,yellow,credit card,UN/Turtle Bay South,Murray Hill,Manhattan,Manhattan
2019-03-01T19:30:40Z,2019-03-01T19:46:03Z,1,1.55,11,0,0,12.8,green,cash,Astoria,Woodside,Queens,Queens
2019-03-01T19:42:29Z,2019-03-01T19:55:33Z,1,1.6,10,3,0,17.3,yellow,credit card,Penn Station/Madison Sq West,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-01T20:05:24Z,2019-03-01T20:14:04Z,1,3.4,12,0,0,13.3,green,cash,Rego Park,Hillcrest/Pomonok,Queens,Queens
2019-03-01T20:05:26Z,2019-03-01T20:12:28Z,0,1.5,7.5,2.15,0,12.95,yellow,credit card,Lenox Hill West,Upper West Side South,Manhattan,Manhattan
2019-03-01T20:28:26Z,2019-03-01T20:36:21Z,1,1.31,7.5,0,0,11.3,yellow,cash,Garment District,Midtown East,Manhattan,Manhattan
2019-03-01T20:34:20Z,2019-03-01T20:41:44Z,1,0.86,6.5,1.17,0,8.97,green,credit card,Central Harlem North,Central Harlem,Manhattan,Manhattan
2019-03-01T20:36:57Z,2019-03-01T20:38:54Z,1,0.6,4,0,0,7.8,yellow,cash,Lenox Hill West,Yorkville West,Manhattan,Manhattan
2019-03-01T20:38:37Z,2019-03-01T20:48:28Z,1,1.43,8,2.36,0,14.16,yellow,credit card,TriBeCa/Civic Center,Chinatown,Manhattan,Manhattan
2019-03-01T20:41:45Z,2019-03-01T20:50:16Z,1,1,7,2.7,0,13.5,yellow,credit card,Midtown Center,Garment District,Manhattan,Manhattan
2019-03-01T20:47:42Z,2019-03-01T20:51:09Z,1,0.92,5,0,0,8.8,yellow,credit card,Central Park,Central Park,Manhattan,Manhattan
2019-03-01T21:12:39Z,2019-03-01T21:16:16Z,1,0.61,4.5,0,0,8.3,yellow,cash,Union Sq,Murray Hill,Manhattan,Manhattan
2019-03-01T21:16:20Z,2019-03-01T21:24:11Z,1,1.2,7,2,0,12.8,yellow,credit card,Union Sq,East Chelsea,Manhattan,Manhattan
2019-03-01T21:21:01Z,2019-03-01T21:28:00Z,5,0.99,6.5,1.95,0,9.75,green,credit card,Astoria,Woodside,Queens,Queens
2019-03-01T21:23:47Z,2019-03-01T21:35:06Z,1,2.02,9.5,2,0,15.3,yellow,credit card,Murray Hill,West Village,Manhattan,Manhattan
2019-03-01T21:29:24Z,2019-03-01T21:42:30Z,1,2.8,12,3.16,0,18.96,yellow,credit card,Midtown Center,Upper West Side North,Manhattan,Manhattan
2019-03-01T21:38:07Z,2019-03-01T21:44:45Z,2,0.7,6,1.95,0,11.75,yellow,credit card,Lower East Side,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-01T21:46:40Z,2019-03-01T22:08:18Z,2,4.1,17,1,0,21.8,yellow,credit card,West Village,Williamsburg (North Side),Manhattan,Brooklyn
2019-03-01T22:08:26Z,2019-03-01T22:22:53Z,1,3.02,13,3.36,0,20.16,yellow,credit card,Upper West Side South,Manhattanville,Manhattan,Manhattan
2019-03-01T22:25:03Z,2019-03-01T22:32:08Z,1,1.3,7,1.66,0,9.96,yellow,credit card,Morningside Heights,Manhattanville,Manhattan,Manhattan
2019-03-01T22:29:10Z,2019-03-01T22:33:24Z,2,0.55,5,0,0,8.8,yellow,cash,East Chelsea,Penn Station/Madison Sq West,Manhattan,Manhattan
2019-03-01T22:39:03Z,2019-03-01T22:51:14Z,1,2.78,11.5,3.06,0,18.36,yellow,credit card,Midtown North,Upper West Side North,Manhattan,Manhattan
2019-03-01T22:46:24Z,2019-03-01T22:58:52Z,1,3.3,12.5,3.26,0,19.56,yellow,credit card,Midtown North,Morningside Heights,Manhattan,Manhattan
2019-03-01T22:48:11Z,2019-03-01T22:50:24Z,1,0.42,3.5,2,0,9.3,yellow,credit card,Clinton East,Lincoln Square East,Manhattan,Manhattan
2019-03-01T22:49:54Z,2019-03-01T22:53:32Z,1,0.9,5,0,0,6.3,yellow,credit card,East Harlem South,East Harlem North,Manhattan,Manhattan
2019-03-01T22:55:07Z,2019-03-01T23:18:29Z,2,3.7,18,0,0,21.8,yellow,cash,East Village,East Williamsburg,Manhattan,Brooklyn
2019-03-01T23:08:51Z,2019-03-01T23:35:30Z,1,4.4,20,5.95,0,29.75,yellow,credit card,Greenwich Village South,Park Slope,Manhattan,Brooklyn
2019-03-01T23:13:22Z,2019-03-01T23:32:53Z,1,8.9,26.5,6.05,0,36.35,yellow,credit card,Clinton East,Inwood,Manhattan,Manhattan
2019-03-01T23:15:11Z,2019-03-01T23:33:56Z,4,2.7,13.5,1,0,18.3,yellow,credit card,Garment District,East Village,Manhattan,Manhattan
2019-03-01T23:17:46Z,2019-03-01T23:31:54Z,2,1.56,10,0,0,13.8,yellow,cash,Greenwich Village North,Midtown South,Manhattan,Manhattan
2019-03-01T23:23:07Z,2019-03-01T23:27:23Z,1,0.74,5,0,0,6.3,green,cash,Central Harlem,Central Harlem North,Manhattan,Manhattan
2019-03-01T23:42:39Z,2019-03-01T23:50:53Z,1,1.43,7.5,2.26,0,13.56,yellow,credit card,West Village,Gramercy,Manhattan,Manhattan
2019-03-01T23:48:39Z,2019-03-02T00:08:39Z,1,3.76,16,3,0,22.8,yellow,credit card,Clinton West,East Village,Manhattan,Manhattan
2019-03-02T00:05:57Z,2019-03-02T00:13:01Z,2,1.41,7.5,2.26,0,13.56,yellow,credit card,Alphabet City,Kips Bay,Manhattan,Manhattan
2019-03-02T00:07:45Z,2019-03-02T00:10:37Z,1,0.44,4,0,0,7.8,yellow,cash,West Village,Meatpacking/West Village West,Manhattan,Manhattan
2019-03-02T00:11:37Z,2019-03-02T00:30:11Z,0,2.8,14.5,0,0,18.3,yellow,cash,Lower East Side,Williamsburg (South Side),Manhattan,Brooklyn
2019-03-02T00:50:05Z,2019-03-02T00:58:26Z,6,1.8,8.5,0,0,12.3,yellow,credit card,Flatiron,Alphabet City,Manhattan,Manhattan
2019-03-02T01:05:09Z,2019-03-02T01:25:21Z,1,6.25,20,4,0,27.8,yellow,credit card,East Village,Bloomingdale,Manhattan,Manhattan
2019-03-02T01:06:24Z,2019-03-02T01:12:11Z,2,0.85,5.5,0,0,9.3,yellow,cash,East Village,Flatiron,Manhattan,Manhattan
2019-03-02T01:07:11Z,2019-03-02T01:21:37Z,2,2.4,11.5,3.05,0,18.35,yellow,credit card,SoHo,Union Sq,Manhattan,Manhattan
2019-03-02T01:17:14Z,2019-03-02T01:36:17Z,1,3.55,14.5,2.5,0,20.8,yellow,credit card,Clinton East,Lower East Side,Manhattan,Manhattan
2019-03-02T01:26:11Z,2019-03-02T02:01:00Z,1,8.7,30.5,0,0,34.3,yellow,cash,Union Sq,Washington Heights South,Manhattan,Manhattan
2019-03-02T01:35:48Z,2019-03-02T01:39:51Z,1,1,5,0,0,8.8,yellow,cash,Penn Station/Madison Sq West,Clinton East,Manhattan,Manhattan
2019-03-02T02:01:31Z,2019-03-02T02:13:19Z,1,3.3,11.5,3.05,0,18.35,yellow,credit card,Lincoln Square East,Flatiron,Manhattan,Manhattan
2019-03-02T02:39:49Z,2019-03-02T02:46:38Z,1,0.89,6,2.45,0,12.25,yellow,credit card,East Village,Little Italy/NoLiTa,Manhattan,Manhattan
2019-03-02T03:13:18Z,2019-03-02T03:27:24Z,1,3.39,12.5,3.26,0,19.56,yellow,credit card,West Village,Brooklyn Heights,Manhattan,Brooklyn
2019-03-02T03:16:59Z,2019-03-02T03:17:06Z,0,9.4,2.5,0,0,3.8,yellow,NA,JFK Airport,JFK Airport,Queens,Queens
2019-03-02T03:22:04Z,2019-03-02T03:32:37Z,1,1.47,8.5,2,0,14.3,yellow,credit card,Lower East Side,Greenwich Village North,Manhattan,Manhattan
2019-03-02T03:29:13Z,2019-03-02T03:53:18Z,1,4.66,18,3,0,24.8,yellow,credit card,Lower East Side,Clinton West,Manhattan,Manhattan
2019-03-02T04:14:13Z,2019-03-02T04:38:32Z,1,6.82,23,0,0,26.8,yellow,cash,Midtown North,UN/Turtle Bay South,Manhattan,Manhattan
2019-03-02T05:55:16Z,2019-03-02T06:02:57Z,1,1.34,7.5,0,0,11.3,yellow,cash,Yorkville West,Lenox Hill East,Manhattan,Manhattan
2019-03-02T07:28:47Z,2019-03-02T07:35:25Z,1,1.5,7,0,0,10.3,yellow,cash,Upper East Side South,Murray Hill,Manhattan,Manhattan
2019-03-02T07:36:57Z,2019-03-02T07:44:51Z,2,1.6,8,1.13,0,12.43,yellow,credit card,Yorkville East,Central Park,Manhattan,Manhattan
2019-03-02T08:27:24Z,2019-03-02T08:29:22Z,5,0.28,3.5,0,0,6.8,yellow,cash,Union Sq,Gramercy,Manhattan,Manhattan
2019-03-02T08:50:57Z,2019-03-02T08:57:06Z,1,0.9,6,0,0,9.3,yellow,cash,Midtown East,Midtown Center,Manhattan,Manhattan
2019-03-02T09:25:32Z,2019-03-02T09:47:25Z,1,5.93,21,0,0,24.3,yellow,cash,Lincoln Square East,Battery Park City,Manhattan,Manhattan
